,variable_code,label,concept,predicateType,group,attributes
18,S0804_C04_066E,PUBLIC TRANSPORTATION (EXCLUDING TAXICAB)!!ESTIMATE!!WORKERS 16 YEARS AND OVER WHO DID NOT WORK AT HOME,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,int,S0804,"S0804_C04_066EA,S0804_C04_066M,S0804_C04_066MA"
19,S0503_C02_072E,"FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!OCCUPATION!!NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_072EA,S0503_C02_072M,S0503_C02_072MA"
20,S0804_C04_065E,PUBLIC TRANSPORTATION (EXCLUDING TAXICAB)!!ESTIMATE!!CLASS OF WORKER!!UNPAID FAMILY WORKERS,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C04_065EA,S0804_C04_065M,S0804_C04_065MA"
21,S0506_C01_125E,TOTAL!!ESTIMATE!!OCCUPIED HOUSING UNITS!!HOUSING TENURE!!OWNER-OCCUPIED HOUSING UNITS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C01_125EA,S0506_C01_125M,S0506_C01_125MA"
22,S0503_C02_071E,FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!OCCUPATION!!SALES AND OFFICE OCCUPATIONS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_071EA,S0503_C02_071M,S0503_C02_071MA"
23,S0102_C02_046E,60 YEARS AND OVER!!ESTIMATE!!RESIDENCE 1 YEAR AGO!!POPULATION 1 YEAR AND OVER,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,int,S0102,"S0102_C02_046EA,S0102_C02_046M,S0102_C02_046MA"
24,S0503_C02_070E,FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!OCCUPATION!!SERVICE OCCUPATIONS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_070EA,S0503_C02_070M,S0503_C02_070MA"
25,S0102_C02_047E,60 YEARS AND OVER!!ESTIMATE!!RESIDENCE 1 YEAR AGO!!POPULATION 1 YEAR AND OVER!!SAME HOUSE,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,"S0102_C02_047EA,S0102_C02_047M,S0102_C02_047MA"
26,S0102_C02_044E,60 YEARS AND OVER!!ESTIMATE!!DISABILITY STATUS!!CIVILIAN NONINSTITUTIONALIZED POPULATION!!WITH ANY DISABILITY,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,"S0102_C02_044EA,S0102_C02_044M,S0102_C02_044MA"
27,S1811_C02_018E,"WITH A DISABILITY!!ESTIMATE!!OCCUPATION!!PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_018EA,S1811_C02_018M,S1811_C02_018MA"
28,S0102_C02_045E,60 YEARS AND OVER!!ESTIMATE!!DISABILITY STATUS!!CIVILIAN NONINSTITUTIONALIZED POPULATION!!NO DISABILITY,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,"S0102_C02_045EA,S0102_C02_045M,S0102_C02_045MA"
29,S1811_C02_019E,"WITH A DISABILITY!!ESTIMATE!!INDUSTRY!!AGRICULTURE, FORESTRY, FISHING AND HUNTING, AND MINING",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_019EA,S1811_C02_019M,S1811_C02_019MA"
30,S1201_C03_004E,WIDOWED!!ESTIMATE!!AGE AND SEX!!MALES 15 YEARS AND OVER!!20 TO 34 YEARS,MARITAL STATUS,float,S1201,"S1201_C03_004EA,S1201_C03_004M,S1201_C03_004MA"
31,S0102_C02_042E,60 YEARS AND OVER!!ESTIMATE!!VETERAN STATUS!!CIVILIAN POPULATION 18 YEARS AND OVER!!CIVILIAN VETERAN,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,"S0102_C02_042EA,S0102_C02_042M,S0102_C02_042MA"
32,S0102PR_C02_012E,60 YEARS AND OVER!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!TWO OR MORE RACES,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_012EA,S0102PR_C02_012M,S0102PR_C02_012MA"
33,S1811_C02_016E,WITH A DISABILITY!!ESTIMATE!!OCCUPATION!!SALES AND OFFICE OCCUPATIONS,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_016EA,S1811_C02_016M,S1811_C02_016MA"
34,S1201_C03_003E,WIDOWED!!ESTIMATE!!AGE AND SEX!!MALES 15 YEARS AND OVER!!15 TO 19 YEARS,MARITAL STATUS,float,S1201,"S1201_C03_003EA,S1201_C03_003M,S1201_C03_003MA"
35,S0102_C02_043E,60 YEARS AND OVER!!ESTIMATE!!DISABILITY STATUS!!CIVILIAN NONINSTITUTIONALIZED POPULATION,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,int,S0102,"S0102_C02_043EA,S0102_C02_043M,S0102_C02_043MA"
36,S0102PR_C02_013E,60 YEARS AND OVER!!ESTIMATE!!HISPANIC OR LATINO ORIGIN (OF ANY RACE),POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_013EA,S0102PR_C02_013M,S0102PR_C02_013MA"
37,S1811_C02_017E,"WITH A DISABILITY!!ESTIMATE!!OCCUPATION!!NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_017EA,S1811_C02_017M,S1811_C02_017MA"
38,S1201_C03_002E,WIDOWED!!ESTIMATE!!AGE AND SEX!!MALES 15 YEARS AND OVER,MARITAL STATUS,float,S1201,"S1201_C03_002EA,S1201_C03_002M,S1201_C03_002MA"
39,S1811_C02_014E,"WITH A DISABILITY!!ESTIMATE!!OCCUPATION!!MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_014EA,S1811_C02_014M,S1811_C02_014MA"
40,S0102_C02_040E,60 YEARS AND OVER!!ESTIMATE!!RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!POPULATION 30 YEARS AND OVER!!LIVING WITH GRANDCHILD(REN)!!RESPONSIBLE FOR GRANDCHILD(REN),POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,"S0102_C02_040EA,S0102_C02_040M,S0102_C02_040MA"
41,S0102PR_C02_010E,60 YEARS AND OVER!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_010EA,S0102PR_C02_010M,S0102PR_C02_010MA"
42,S1811_C02_015E,WITH A DISABILITY!!ESTIMATE!!OCCUPATION!!SERVICE OCCUPATIONS,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_015EA,S1811_C02_015M,S1811_C02_015MA"
43,S1201_C03_001E,WIDOWED!!ESTIMATE!!POPULATION 15 YEARS AND OVER,MARITAL STATUS,float,S1201,"S1201_C03_001EA,S1201_C03_001M,S1201_C03_001MA"
44,S0102_C02_041E,60 YEARS AND OVER!!ESTIMATE!!VETERAN STATUS!!CIVILIAN POPULATION 18 YEARS AND OVER,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,int,S0102,"S0102_C02_041EA,S0102_C02_041M,S0102_C02_041MA"
45,S0102PR_C02_011E,60 YEARS AND OVER!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!SOME OTHER RACE,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_011EA,S0102PR_C02_011M,S0102PR_C02_011MA"
46,S1811_C02_024E,"WITH A DISABILITY!!ESTIMATE!!INDUSTRY!!TRANSPORTATION AND WAREHOUSING, AND UTILITIES",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_024EA,S1811_C02_024M,S1811_C02_024MA"
47,S1201_C03_008E,WIDOWED!!ESTIMATE!!AGE AND SEX!!MALES 15 YEARS AND OVER!!65 YEARS AND OVER,MARITAL STATUS,float,S1201,"S1201_C03_008EA,S1201_C03_008M,S1201_C03_008MA"
48,S0102PR_C02_004E,60 YEARS AND OVER!!ESTIMATE!!MEDIAN AGE (YEARS),POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_004EA,S0102PR_C02_004M,S0102PR_C02_004MA"
49,S2501_C03_036E,RENTER-OCCUPIED HOUSING UNITS!!ESTIMATE!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!WITH RELATED CHILDREN UNDER 18 YEARS!!WITH OWN CHILDREN UNDER 18 YEARS!!6 TO 17 YEARS ONLY,OCCUPANCY CHARACTERISTICS,float,S2501,"S2501_C03_036EA,S2501_C03_036M,S2501_C03_036MA"
50,S1811_C02_025E,WITH A DISABILITY!!ESTIMATE!!INDUSTRY!!INFORMATION,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_025EA,S1811_C02_025M,S1811_C02_025MA"
51,S1201_C03_007E,WIDOWED!!ESTIMATE!!AGE AND SEX!!MALES 15 YEARS AND OVER!!55 TO 64 YEARS,MARITAL STATUS,float,S1201,"S1201_C03_007EA,S1201_C03_007M,S1201_C03_007MA"
52,S0102PR_C02_005E,60 YEARS AND OVER!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_005EA,S0102PR_C02_005M,S0102PR_C02_005MA"
53,S2501_C03_037E,RENTER-OCCUPIED HOUSING UNITS!!ESTIMATE!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!WITH RELATED CHILDREN UNDER 18 YEARS!!NO OWN CHILDREN UNDER 18 YEARS,OCCUPANCY CHARACTERISTICS,float,S2501,"S2501_C03_037EA,S2501_C03_037M,S2501_C03_037MA"
54,S2702PR_C02_105E,UNINSURED POPULATION!!ESTIMATE!!AT OR ABOVE 300 PERCENT OF THE POVERTY LEVEL,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_105EA,S2702PR_C02_105M,S2702PR_C02_105MA"
55,S1201_C03_006E,WIDOWED!!ESTIMATE!!AGE AND SEX!!MALES 15 YEARS AND OVER!!45 TO 54 YEARS,MARITAL STATUS,float,S1201,"S1201_C03_006EA,S1201_C03_006M,S1201_C03_006MA"
56,S1811_C02_022E,WITH A DISABILITY!!ESTIMATE!!INDUSTRY!!WHOLESALE TRADE,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_022EA,S1811_C02_022M,S1811_C02_022MA"
57,S0102PR_C02_002E,60 YEARS AND OVER!!ESTIMATE!!SEX AND AGE!!MALE,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_002EA,S0102PR_C02_002M,S0102PR_C02_002MA"
58,S2501_C03_038E,RENTER-OCCUPIED HOUSING UNITS!!ESTIMATE!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!NO RELATED CHILDREN UNDER 18 YEARS,OCCUPANCY CHARACTERISTICS,float,S2501,"S2501_C03_038EA,S2501_C03_038M,S2501_C03_038MA"
59,S1811_C02_023E,WITH A DISABILITY!!ESTIMATE!!INDUSTRY!!RETAIL TRADE,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_023EA,S1811_C02_023M,S1811_C02_023MA"
60,S1201_C03_005E,WIDOWED!!ESTIMATE!!AGE AND SEX!!MALES 15 YEARS AND OVER!!35 TO 44 YEARS,MARITAL STATUS,float,S1201,"S1201_C03_005EA,S1201_C03_005M,S1201_C03_005MA"
61,S0102PR_C02_003E,60 YEARS AND OVER!!ESTIMATE!!SEX AND AGE!!FEMALE,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_003EA,S0102PR_C02_003M,S0102PR_C02_003MA"
62,S1811_C02_020E,WITH A DISABILITY!!ESTIMATE!!INDUSTRY!!CONSTRUCTION,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_020EA,S1811_C02_020M,S1811_C02_020MA"
63,S0102PR_C02_008E,60 YEARS AND OVER!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!AMERICAN INDIAN AND ALASKA NATIVE,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_008EA,S0102PR_C02_008M,S0102PR_C02_008MA"
64,S1811_C02_021E,WITH A DISABILITY!!ESTIMATE!!INDUSTRY!!MANUFACTURING,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,"S1811_C02_021EA,S1811_C02_021M,S1811_C02_021MA"
65,S0102PR_C02_009E,60 YEARS AND OVER!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!ASIAN,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_009EA,S0102PR_C02_009M,S0102PR_C02_009MA"
66,S2601B_C04_059E,NURSING FACILITIES/SKILLED NURSING FACILITIES!!ESTIMATE!!RESIDENCE 1 YEAR AGO!!POPULATION 1 YEAR AND OVER!!DIFFERENT ADDRESS IN THE U.S.!!DIFFERENT COUNTY!!DIFFERENT STATE,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C04_059EA,S2601B_C04_059M,S2601B_C04_059MA"
67,S0102_C02_048E,60 YEARS AND OVER!!ESTIMATE!!RESIDENCE 1 YEAR AGO!!POPULATION 1 YEAR AND OVER!!DIFFERENT HOUSE IN THE UNITED STATES,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,"S0102_C02_048EA,S0102_C02_048M,S0102_C02_048MA"
68,S0701PR_C01_030E,"TOTAL!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER!!NOW MARRIED, EXCEPT SEPARATED",GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,"S0701PR_C01_030EA,S0701PR_C01_030M,S0701PR_C01_030MA"
69,S0102PR_C02_006E,60 YEARS AND OVER!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!WHITE,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_006EA,S0102PR_C02_006M,S0102PR_C02_006MA"
70,S0102_C02_049E,60 YEARS AND OVER!!ESTIMATE!!RESIDENCE 1 YEAR AGO!!POPULATION 1 YEAR AND OVER!!DIFFERENT HOUSE IN THE UNITED STATES!!SAME COUNTY,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,"S0102_C02_049EA,S0102_C02_049M,S0102_C02_049MA"
71,S0701PR_C01_031E,TOTAL!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER!!DIVORCED OR SEPARATED,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,"S0701PR_C01_031EA,S0701PR_C01_031M,S0701PR_C01_031MA"
72,S0102PR_C02_007E,60 YEARS AND OVER!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!BLACK OR AFRICAN AMERICAN,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,"S0102PR_C02_007EA,S0102PR_C02_007M,S0102PR_C02_007MA"
73,S1201_C03_009E,WIDOWED!!ESTIMATE!!AGE AND SEX!!FEMALES 15 YEARS AND OVER,MARITAL STATUS,float,S1201,"S1201_C03_009EA,S1201_C03_009M,S1201_C03_009MA"
74,S0701PR_C01_032E,TOTAL!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER!!WIDOWED,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,"S0701PR_C01_032EA,S0701PR_C01_032M,S0701PR_C01_032MA"
75,S0506_C01_114E,TOTAL!!ESTIMATE!!POVERTY STATUS IN THE PAST 12 MONTHS!!POPULATION FOR WHOM POVERTY STATUS IS DETERMINED!!AT OR ABOVE 200 PERCENT OF THE POVERTY LEVEL,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C01_114EA,S0506_C01_114M,S0506_C01_114MA"
76,S2601B_C04_055E,NURSING FACILITIES/SKILLED NURSING FACILITIES!!ESTIMATE!!RESIDENCE 1 YEAR AGO!!POPULATION 1 YEAR AND OVER!!DIFFERENT ADDRESS IN THE U.S.,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C04_055EA,S2601B_C04_055M,S2601B_C04_055MA"
77,S0804_C04_060E,PUBLIC TRANSPORTATION (EXCLUDING TAXICAB)!!ESTIMATE!!INDUSTRY!!PUBLIC ADMINISTRATION,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C04_060EA,S0804_C04_060M,S0804_C04_060MA"
78,S0701PR_C01_033E,TOTAL!!ESTIMATE!!EDUCATIONAL ATTAINMENT!!POPULATION 25 YEARS AND OVER,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,"S0701PR_C01_033EA,S0701PR_C01_033M,S0701PR_C01_033MA"
79,S0506_C01_115E,TOTAL!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!ALL FAMILIES,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C01_115EA,S0506_C01_115M,S0506_C01_115MA"
80,S2601B_C04_054E,NURSING FACILITIES/SKILLED NURSING FACILITIES!!ESTIMATE!!RESIDENCE 1 YEAR AGO!!POPULATION 1 YEAR AND OVER!!SAME ADDRESS,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C04_054EA,S2601B_C04_054M,S2601B_C04_054MA"
81,S2702PR_C02_100E,UNINSURED POPULATION!!ESTIMATE!!BELOW 50 PERCENT OF THE POVERTY LEVEL,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_100EA,S2702PR_C02_100M,S2702PR_C02_100MA"
82,S0701PR_C01_034E,TOTAL!!ESTIMATE!!EDUCATIONAL ATTAINMENT!!POPULATION 25 YEARS AND OVER!!LESS THAN HIGH SCHOOL GRADUATE,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,"S0701PR_C01_034EA,S0701PR_C01_034M,S0701PR_C01_034MA"
83,S0506_C01_116E,TOTAL!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!ALL FAMILIES!!WITH RELATED CHILDREN UNDER 18 YEARS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C01_116EA,S0506_C01_116M,S0506_C01_116MA"
