,variable_code,label,concept,predicateType,group,limit,attributes,predicateOnly
21,S0804_C04_066E,Public transportation (excluding taxicab)!!Estimate!!Workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,int,S0804,0,"S0804_C04_066EA,S0804_C04_066M,S0804_C04_066MA",
22,S0503_C02_072E,"Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Natural resources, construction, and maintenance occupations",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_072EA,S0503_C02_072M,S0503_C02_072MA",
23,S0804_C04_065E,Public transportation (excluding taxicab)!!Estimate!!CLASS OF WORKER!!Unpaid family workers,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_065EA,S0804_C04_065M,S0804_C04_065MA",
24,S0506_C01_125E,Total!!Estimate!!Occupied housing units!!HOUSING TENURE!!Owner-occupied housing units,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_125EA,S0506_C01_125M,S0506_C01_125MA",
25,S0503_C02_071E,Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Sales and office occupations,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_071EA,S0503_C02_071M,S0503_C02_071MA",
26,S0102_C02_046E,60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,int,S0102,0,"S0102_C02_046EA,S0102_C02_046M,S0102_C02_046MA",
27,S0503_C02_070E,Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Service occupations,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_070EA,S0503_C02_070M,S0503_C02_070MA",
28,S0102_C02_047E,60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,0,"S0102_C02_047EA,S0102_C02_047M,S0102_C02_047MA",
29,S0102_C02_044E,60 years and over!!Estimate!!DISABILITY STATUS!!Civilian noninstitutionalized population!!With any disability,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,0,"S0102_C02_044EA,S0102_C02_044M,S0102_C02_044MA",
30,S1811_C02_018E,"With a Disability!!Estimate!!OCCUPATION!!Production, transportation, and material moving occupations",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_018EA,S1811_C02_018M,S1811_C02_018MA",
31,S0102_C02_045E,60 years and over!!Estimate!!DISABILITY STATUS!!Civilian noninstitutionalized population!!No disability,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,0,"S0102_C02_045EA,S0102_C02_045M,S0102_C02_045MA",
32,S1811_C02_019E,"With a Disability!!Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_019EA,S1811_C02_019M,S1811_C02_019MA",
33,S1201_C03_004E,Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over!!20 to 34 years,MARITAL STATUS,float,S1201,0,"S1201_C03_004EA,S1201_C03_004M,S1201_C03_004MA",
34,S0102_C02_042E,60 years and over!!Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veteran,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,0,"S0102_C02_042EA,S0102_C02_042M,S0102_C02_042MA",
35,S0102PR_C02_012E,60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_012EA,S0102PR_C02_012M,S0102PR_C02_012MA",
36,S1811_C02_016E,With a Disability!!Estimate!!OCCUPATION!!Sales and office occupations,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_016EA,S1811_C02_016M,S1811_C02_016MA",
37,S1201_C03_003E,Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over!!15 to 19 years,MARITAL STATUS,float,S1201,0,"S1201_C03_003EA,S1201_C03_003M,S1201_C03_003MA",
38,S0102_C02_043E,60 years and over!!Estimate!!DISABILITY STATUS!!Civilian noninstitutionalized population,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,int,S0102,0,"S0102_C02_043EA,S0102_C02_043M,S0102_C02_043MA",
39,S0102PR_C02_013E,60 years and over!!Estimate!!Hispanic or Latino origin (of any race),POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_013EA,S0102PR_C02_013M,S0102PR_C02_013MA",
40,S1811_C02_017E,"With a Disability!!Estimate!!OCCUPATION!!Natural resources, construction, and maintenance occupations",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_017EA,S1811_C02_017M,S1811_C02_017MA",
41,S1201_C03_002E,Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over,MARITAL STATUS,float,S1201,0,"S1201_C03_002EA,S1201_C03_002M,S1201_C03_002MA",
42,S1811_C02_014E,"With a Disability!!Estimate!!OCCUPATION!!Management, business, science, and arts occupations",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_014EA,S1811_C02_014M,S1811_C02_014MA",
43,S0102_C02_040E,60 years and over!!Estimate!!RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Population 30 years and over!!Living with grandchild(ren)!!Responsible for grandchild(ren),POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,0,"S0102_C02_040EA,S0102_C02_040M,S0102_C02_040MA",
44,S0102PR_C02_010E,60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_010EA,S0102PR_C02_010M,S0102PR_C02_010MA",
45,S1811_C02_015E,With a Disability!!Estimate!!OCCUPATION!!Service occupations,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_015EA,S1811_C02_015M,S1811_C02_015MA",
46,S1201_C03_001E,Widowed!!Estimate!!Population 15 years and over,MARITAL STATUS,float,S1201,0,"S1201_C03_001EA,S1201_C03_001M,S1201_C03_001MA",
47,S0102_C02_041E,60 years and over!!Estimate!!VETERAN STATUS!!Civilian population 18 years and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,int,S0102,0,"S0102_C02_041EA,S0102_C02_041M,S0102_C02_041MA",
48,S0102PR_C02_011E,60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_011EA,S0102PR_C02_011M,S0102PR_C02_011MA",
49,S1811_C02_024E,"With a Disability!!Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_024EA,S1811_C02_024M,S1811_C02_024MA",
50,S1201_C03_008E,Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over!!65 years and over,MARITAL STATUS,float,S1201,0,"S1201_C03_008EA,S1201_C03_008M,S1201_C03_008MA",
51,S0102PR_C02_004E,60 years and over!!Estimate!!Median age (years),POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_004EA,S0102PR_C02_004M,S0102PR_C02_004MA",
52,S2501_C03_036E,Renter-occupied housing units!!Estimate!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!With related children under 18 years!!With own children under 18 years!!6 to 17 years only,OCCUPANCY CHARACTERISTICS,float,S2501,0,"S2501_C03_036EA,S2501_C03_036M,S2501_C03_036MA",
53,S1811_C02_025E,With a Disability!!Estimate!!INDUSTRY!!Information,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_025EA,S1811_C02_025M,S1811_C02_025MA",
54,S1201_C03_007E,Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over!!55 to 64 years,MARITAL STATUS,float,S1201,0,"S1201_C03_007EA,S1201_C03_007M,S1201_C03_007MA",
55,S0102PR_C02_005E,60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_005EA,S0102PR_C02_005M,S0102PR_C02_005MA",
56,S2501_C03_037E,Renter-occupied housing units!!Estimate!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!With related children under 18 years!!No own children under 18 years,OCCUPANCY CHARACTERISTICS,float,S2501,0,"S2501_C03_037EA,S2501_C03_037M,S2501_C03_037MA",
57,S2702PR_C02_105E,Uninsured Population!!Estimate!!At or above 300 percent of the poverty level,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,0,"S2702PR_C02_105EA,S2702PR_C02_105M,S2702PR_C02_105MA",
58,S1201_C03_006E,Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over!!45 to 54 years,MARITAL STATUS,float,S1201,0,"S1201_C03_006EA,S1201_C03_006M,S1201_C03_006MA",
59,S1811_C02_022E,With a Disability!!Estimate!!INDUSTRY!!Wholesale trade,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_022EA,S1811_C02_022M,S1811_C02_022MA",
60,S0102PR_C02_002E,60 years and over!!Estimate!!SEX AND AGE!!Male,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_002EA,S0102PR_C02_002M,S0102PR_C02_002MA",
61,S2501_C03_038E,Renter-occupied housing units!!Estimate!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!No related children under 18 years,OCCUPANCY CHARACTERISTICS,float,S2501,0,"S2501_C03_038EA,S2501_C03_038M,S2501_C03_038MA",
62,S1811_C02_023E,With a Disability!!Estimate!!INDUSTRY!!Retail trade,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_023EA,S1811_C02_023M,S1811_C02_023MA",
63,S1201_C03_005E,Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over!!35 to 44 years,MARITAL STATUS,float,S1201,0,"S1201_C03_005EA,S1201_C03_005M,S1201_C03_005MA",
64,S0102PR_C02_003E,60 years and over!!Estimate!!SEX AND AGE!!Female,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_003EA,S0102PR_C02_003M,S0102PR_C02_003MA",
65,S1811_C02_020E,With a Disability!!Estimate!!INDUSTRY!!Construction,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_020EA,S1811_C02_020M,S1811_C02_020MA",
66,S0102PR_C02_008E,60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_008EA,S0102PR_C02_008M,S0102PR_C02_008MA",
67,S1811_C02_021E,With a Disability!!Estimate!!INDUSTRY!!Manufacturing,SELECTED ECONOMIC CHARACTERISTICS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION BY DISABILITY STATUS,float,S1811,0,"S1811_C02_021EA,S1811_C02_021M,S1811_C02_021MA",
68,S0102PR_C02_009E,60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_009EA,S0102PR_C02_009M,S0102PR_C02_009MA",
69,S2601B_C04_059E,Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different address in the U.S.!!Different county!!Different state,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C04_059EA,S2601B_C04_059M,S2601B_C04_059MA",
70,S0102_C02_048E,60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,0,"S0102_C02_048EA,S0102_C02_048M,S0102_C02_048MA",
71,S0701PR_C01_030E,"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_030EA,S0701PR_C01_030M,S0701PR_C01_030MA",
72,S0102PR_C02_006E,60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_006EA,S0102PR_C02_006M,S0102PR_C02_006MA",
73,S0102_C02_049E,60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Same county,POPULATION 60 YEARS AND OVER IN THE UNITED STATES,float,S0102,0,"S0102_C02_049EA,S0102_C02_049M,S0102_C02_049MA",
74,S0701PR_C01_031E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_031EA,S0701PR_C01_031M,S0701PR_C01_031MA",
75,S0102PR_C02_007E,60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,POPULATION 60 YEARS AND OVER IN PUERTO RICO,float,S0102PR,0,"S0102PR_C02_007EA,S0102PR_C02_007M,S0102PR_C02_007MA",
76,S1201_C03_009E,Widowed!!Estimate!!AGE AND SEX!!Females 15 years and over,MARITAL STATUS,float,S1201,0,"S1201_C03_009EA,S1201_C03_009M,S1201_C03_009MA",
77,S0701PR_C01_032E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Widowed,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_032EA,S0701PR_C01_032M,S0701PR_C01_032MA",
78,S0506_C01_114E,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 200 percent of the poverty level,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_114EA,S0506_C01_114M,S0506_C01_114MA",
79,S2601B_C04_055E,Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different address in the U.S.,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C04_055EA,S2601B_C04_055M,S2601B_C04_055MA",
80,S0804_C04_060E,Public transportation (excluding taxicab)!!Estimate!!INDUSTRY!!Public administration,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_060EA,S0804_C04_060M,S0804_C04_060MA",
81,S0701PR_C01_033E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_033EA,S0701PR_C01_033M,S0701PR_C01_033MA",
82,S0506_C01_115E,Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_115EA,S0506_C01_115M,S0506_C01_115MA",
83,S2601B_C04_054E,Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same address,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C04_054EA,S2601B_C04_054M,S2601B_C04_054MA",
84,S2702PR_C02_100E,Uninsured Population!!Estimate!!Below 50 percent of the poverty level,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,0,"S2702PR_C02_100EA,S2702PR_C02_100M,S2702PR_C02_100MA",
85,S0701PR_C01_034E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_034EA,S0701PR_C01_034M,S0701PR_C01_034MA",
86,S0506_C01_116E,Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families!!With related children under 18 years,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_116EA,S0506_C01_116M,S0506_C01_116MA",
87,S2601B_C04_057E,Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different address in the U.S.!!Different county,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C04_057EA,S2601B_C04_057M,S2601B_C04_057MA",
88,S2601B_C04_058E,Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different address in the U.S.!!Different county!!Same state,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C04_058EA,S2601B_C04_058M,S2601B_C04_058MA",
89,S0804_C04_062E,Public transportation (excluding taxicab)!!Estimate!!CLASS OF WORKER!!Private wage and salary workers,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_062EA,S0804_C04_062M,S0804_C04_062MA",
90,S0701PR_C01_035E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_035EA,S0701PR_C01_035M,S0701PR_C01_035MA",
91,S0506_C01_117E,Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families!!With related children under 5 years only,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_117EA,S0506_C01_117M,S0506_C01_117MA",
92,S2601B_C04_056E,Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different address in the U.S.!!Same county,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C04_056EA,S2601B_C04_056M,S2601B_C04_056MA",
93,S0804_C04_061E,Public transportation (excluding taxicab)!!Estimate!!INDUSTRY!!Armed forces,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_061EA,S0804_C04_061M,S0804_C04_061MA",
94,S0506_C01_118E,Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_118EA,S0506_C01_118M,S0506_C01_118MA",
95,S2601B_C04_051E,Nursing facilities/skilled nursing facilities!!Estimate!!DISABILITY STATUS!!Population 65 years and over,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,int,S2601B,0,"S2601B_C04_051EA,S2601B_C04_051M,S2601B_C04_051MA",
96,S0701PR_C01_036E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_036EA,S0701PR_C01_036M,S0701PR_C01_036MA",
