,variable_code,label_14,label_19,label_same,label_14_diff,label_19_diff
10,DP02_0125E,"['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'CZECH']","['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'ARAB']","['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']",['CZECH'],['ARAB']
11,DP02_0054PE,"['PERCENT', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'KINDERGARTEN']","['PERCENT', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'NURSERY SCHOOL, PRESCHOOL']","['SCHOOL ENROLLMENT', 'PERCENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL']",['KINDERGARTEN'],"['NURSERY SCHOOL, PRESCHOOL']"
12,DP02_0108MA,"['ANNOTATION OF MARGIN OF ERROR', 'WORLD REGION OF BIRTH OF FOREIGN BORN', 'FOREIGN-BORN POPULATION, EXCLUDING POPULATION BORN AT SEA', 'LATIN AMERICA']","['ANNOTATION OF MARGIN OF ERROR', 'WORLD REGION OF BIRTH OF FOREIGN BORN', 'FOREIGN-BORN POPULATION, EXCLUDING POPULATION BORN AT SEA', 'OCEANIA']","['FOREIGN-BORN POPULATION, EXCLUDING POPULATION BORN AT SEA', 'WORLD REGION OF BIRTH OF FOREIGN BORN', 'ANNOTATION OF MARGIN OF ERROR']",['LATIN AMERICA'],['OCEANIA']
13,DP02_0124M,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'ARAB']","['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'AMERICAN']","['ANCESTRY', 'TOTAL POPULATION', 'MARGIN OF ERROR']",['ARAB'],['AMERICAN']
14,DP02_0124E,"['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'ARAB']","['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'AMERICAN']","['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']",['ARAB'],['AMERICAN']
15,DP02_0098MA,"['ANNOTATION OF MARGIN OF ERROR', 'YEAR OF ENTRY', 'NATIVE', 'ENTERED 2010 OR LATER']","['ANNOTATION OF MARGIN OF ERROR', 'YEAR OF ENTRY', 'POPULATION BORN OUTSIDE THE UNITED STATES', 'NATIVE']","['NATIVE', 'YEAR OF ENTRY', 'ANNOTATION OF MARGIN OF ERROR']",['ENTERED 2010 OR LATER'],['POPULATION BORN OUTSIDE THE UNITED STATES']
16,DP02_0082PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'DIFFERENT HOUSE IN THE U.S.', 'DIFFERENT COUNTY']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'DIFFERENT HOUSE IN THE U.S.', 'SAME COUNTY']","['DIFFERENT HOUSE IN THE U.S.', 'RESIDENCE 1 YEAR AGO', 'ANNOTATION OF PERCENT MARGIN OF ERROR', 'POPULATION 1 YEAR AND OVER']",['DIFFERENT COUNTY'],['SAME COUNTY']
17,DP02_0006EA,"['ANNOTATION OF ESTIMATE', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FAMILY HOUSEHOLDS (FAMILIES)', 'MALE HOUSEHOLDER, NO WIFE PRESENT, FAMILY']","['ANNOTATION OF ESTIMATE', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'MALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']","['TOTAL HOUSEHOLDS', 'ANNOTATION OF ESTIMATE', 'HOUSEHOLDS BY TYPE']","['MALE HOUSEHOLDER, NO WIFE PRESENT, FAMILY', 'FAMILY HOUSEHOLDS (FAMILIES)']","['MALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']"
18,DP02_0139EA,"['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'PORTUGUESE']","['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'POLISH']","['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']",['PORTUGUESE'],['POLISH']
19,DP02_0045PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'GRANDPARENTS', 'NUMBER OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS', 'YEARS RESPONSIBLE FOR GRANDCHILDREN', 'LESS THAN 1 YEAR']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'GRANDPARENTS', 'NUMBER OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS', 'GRANDPARENTS RESPONSIBLE FOR GRANDCHILDREN']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'GRANDPARENTS', 'NUMBER OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS']","['YEARS RESPONSIBLE FOR GRANDCHILDREN', 'LESS THAN 1 YEAR']",['GRANDPARENTS RESPONSIBLE FOR GRANDCHILDREN']
20,DP02_0123M,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'AMERICAN']","['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION']","['ANCESTRY', 'TOTAL POPULATION', 'MARGIN OF ERROR']",['AMERICAN'],[]
21,DP02_0123E,"['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'AMERICAN']","['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']","['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']",['AMERICAN'],[]
22,DP02_0122M,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION']","['MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']",['MARGIN OF ERROR'],"['ANCESTRY', 'TOTAL POPULATION']","['POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES', 'LANGUAGE SPOKEN AT HOME', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']"
23,DP02_0082PEA,"['ANNOTATION OF PERCENT', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'DIFFERENT HOUSE IN THE U.S.', 'DIFFERENT COUNTY']","['ANNOTATION OF PERCENT', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'DIFFERENT HOUSE IN THE U.S.', 'SAME COUNTY']","['DIFFERENT HOUSE IN THE U.S.', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'ANNOTATION OF PERCENT']",['DIFFERENT COUNTY'],['SAME COUNTY']
24,DP02_0122E,"['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']","['ESTIMATE', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']",['ESTIMATE'],"['ANCESTRY', 'TOTAL POPULATION']","['POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES', 'LANGUAGE SPOKEN AT HOME', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']"
25,DP02_0143PE,"['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'SLOVAK']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'SCOTTISH']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION']",['SLOVAK'],['SCOTTISH']
26,DP02_0130MA,"['ANNOTATION OF MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'FRENCH CANADIAN']","['ANNOTATION OF MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'FRENCH (EXCEPT BASQUE)']","['ANNOTATION OF MARGIN OF ERROR', 'TOTAL POPULATION', 'ANCESTRY']",['FRENCH CANADIAN'],['FRENCH (EXCEPT BASQUE)']
27,DP02_0143PM,"['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'SLOVAK']","['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'SCOTTISH']","['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION']",['SLOVAK'],['SCOTTISH']
28,DP02_0121M,"['MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES']","['POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES', 'LANGUAGE SPOKEN AT HOME', 'MARGIN OF ERROR']","['SPEAK ENGLISH LESS THAN ""VERY WELL""']",[]
29,DP02_0085EA,"['ANNOTATION OF ESTIMATE', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'ABROAD']","['ANNOTATION OF ESTIMATE', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'DIFFERENT HOUSE IN THE U.S.', 'DIFFERENT COUNTY', 'DIFFERENT STATE']","['RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'ANNOTATION OF ESTIMATE']",['ABROAD'],"['DIFFERENT HOUSE IN THE U.S.', 'DIFFERENT STATE', 'DIFFERENT COUNTY']"
30,DP02_0010PE,"['PERCENT', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'NONFAMILY HOUSEHOLDS']","['PERCENT', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']","['TOTAL HOUSEHOLDS', 'PERCENT', 'HOUSEHOLDS BY TYPE']",['NONFAMILY HOUSEHOLDS'],"['FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']"
31,DP02_0121E,"['ESTIMATE', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['ESTIMATE', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES']","['POPULATION 5 YEARS AND OVER', 'ESTIMATE', 'LANGUAGE SPOKEN AT HOME', 'OTHER LANGUAGES']","['SPEAK ENGLISH LESS THAN ""VERY WELL""']",[]
32,DP02_0010PM,"['PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'NONFAMILY HOUSEHOLDS']","['PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']","['TOTAL HOUSEHOLDS', 'PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE']",['NONFAMILY HOUSEHOLDS'],"['FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']"
33,DP02_0130PE,"['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'FRENCH CANADIAN']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'FRENCH (EXCEPT BASQUE)']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION']",['FRENCH CANADIAN'],['FRENCH (EXCEPT BASQUE)']
34,DP02_0130PM,"['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'FRENCH CANADIAN']","['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'FRENCH (EXCEPT BASQUE)']","['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION']",['FRENCH CANADIAN'],['FRENCH (EXCEPT BASQUE)']
35,DP02_0120M,"['MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES']","['MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ASIAN AND PACIFIC ISLANDER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['POPULATION 5 YEARS AND OVER', 'LANGUAGE SPOKEN AT HOME', 'MARGIN OF ERROR']",['OTHER LANGUAGES'],"['SPEAK ENGLISH LESS THAN ""VERY WELL""', 'ASIAN AND PACIFIC ISLANDER LANGUAGES']"
36,DP02_0067PM,"['PERCENT MARGIN OF ERROR', 'EDUCATIONAL ATTAINMENT', ""PERCENT BACHELOR'S DEGREE OR HIGHER""]","['PERCENT MARGIN OF ERROR', 'EDUCATIONAL ATTAINMENT', 'POPULATION 25 YEARS AND OVER', 'HIGH SCHOOL GRADUATE OR HIGHER']","['PERCENT MARGIN OF ERROR', 'EDUCATIONAL ATTAINMENT']","[""PERCENT BACHELOR'S DEGREE OR HIGHER""]","['POPULATION 25 YEARS AND OVER', 'HIGH SCHOOL GRADUATE OR HIGHER']"
37,DP02_0120E,"['ESTIMATE', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES']","['ESTIMATE', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ASIAN AND PACIFIC ISLANDER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['POPULATION 5 YEARS AND OVER', 'ESTIMATE', 'LANGUAGE SPOKEN AT HOME']",['OTHER LANGUAGES'],"['SPEAK ENGLISH LESS THAN ""VERY WELL""', 'ASIAN AND PACIFIC ISLANDER LANGUAGES']"
38,DP02_0054MA,"['ANNOTATION OF MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'KINDERGARTEN']","['ANNOTATION OF MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'NURSERY SCHOOL, PRESCHOOL']","['SCHOOL ENROLLMENT', 'ANNOTATION OF MARGIN OF ERROR', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL']",['KINDERGARTEN'],"['NURSERY SCHOOL, PRESCHOOL']"
39,DP02_0067PE,"['PERCENT', 'EDUCATIONAL ATTAINMENT', ""PERCENT BACHELOR'S DEGREE OR HIGHER""]","['PERCENT', 'EDUCATIONAL ATTAINMENT', 'POPULATION 25 YEARS AND OVER', 'HIGH SCHOOL GRADUATE OR HIGHER']","['PERCENT', 'EDUCATIONAL ATTAINMENT']","[""PERCENT BACHELOR'S DEGREE OR HIGHER""]","['HIGH SCHOOL GRADUATE OR HIGHER', 'POPULATION 25 YEARS AND OVER']"
40,DP02_0094PEA,"['ANNOTATION OF PERCENT', 'U.S. CITIZENSHIP STATUS', 'FOREIGN-BORN POPULATION', 'NATURALIZED U.S. CITIZEN']","['ANNOTATION OF PERCENT', 'U.S. CITIZENSHIP STATUS', 'FOREIGN-BORN POPULATION']","['FOREIGN-BORN POPULATION', 'U.S. CITIZENSHIP STATUS', 'ANNOTATION OF PERCENT']",['NATURALIZED U.S. CITIZEN'],[]
41,DP02_0123PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'AMERICAN']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'TOTAL POPULATION', 'ANCESTRY']",['AMERICAN'],[]
42,DP02_0085PM,"['PERCENT MARGIN OF ERROR', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'ABROAD']","['PERCENT MARGIN OF ERROR', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'DIFFERENT HOUSE IN THE U.S.', 'DIFFERENT COUNTY', 'DIFFERENT STATE']","['RESIDENCE 1 YEAR AGO', 'PERCENT MARGIN OF ERROR', 'POPULATION 1 YEAR AND OVER']",['ABROAD'],"['DIFFERENT HOUSE IN THE U.S.', 'DIFFERENT STATE', 'DIFFERENT COUNTY']"
43,DP02_0132PEA,"['ANNOTATION OF PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'GREEK']","['ANNOTATION OF PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'GERMAN']","['ANCESTRY', 'TOTAL POPULATION', 'ANNOTATION OF PERCENT']",['GREEK'],['GERMAN']
44,DP02_0072MA,"['ANNOTATION OF MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'UNDER 18 YEARS']","['ANNOTATION OF MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']","['ANNOTATION OF MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION']",['UNDER 18 YEARS'],"['TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']"
45,DP02_0085PE,"['PERCENT', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'ABROAD']","['PERCENT', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'DIFFERENT HOUSE IN THE U.S.', 'DIFFERENT COUNTY', 'DIFFERENT STATE']","['RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER', 'PERCENT']",['ABROAD'],"['DIFFERENT HOUSE IN THE U.S.', 'DIFFERENT STATE', 'DIFFERENT COUNTY']"
46,DP02_0019MA,"['ANNOTATION OF MARGIN OF ERROR', 'RELATIONSHIP', 'POPULATION IN HOUSEHOLDS', 'SPOUSE']","['ANNOTATION OF MARGIN OF ERROR', 'RELATIONSHIP', 'POPULATION IN HOUSEHOLDS', 'HOUSEHOLDER']","['RELATIONSHIP', 'ANNOTATION OF MARGIN OF ERROR', 'POPULATION IN HOUSEHOLDS']",['SPOUSE'],['HOUSEHOLDER']
47,DP02_0113EA,"['ANNOTATION OF ESTIMATE', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'LANGUAGE OTHER THAN ENGLISH', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['ANNOTATION OF ESTIMATE', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'LANGUAGE OTHER THAN ENGLISH']","['POPULATION 5 YEARS AND OVER', 'LANGUAGE SPOKEN AT HOME', 'LANGUAGE OTHER THAN ENGLISH', 'ANNOTATION OF ESTIMATE']","['SPEAK ENGLISH LESS THAN ""VERY WELL""']",[]
48,DP02_0005PEA,"['ANNOTATION OF PERCENT', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FAMILY HOUSEHOLDS (FAMILIES)', 'MARRIED-COUPLE FAMILY', 'WITH OWN CHILDREN UNDER 18 YEARS']","['ANNOTATION OF PERCENT', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'COHABITING COUPLE HOUSEHOLD', 'WITH OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS']","['TOTAL HOUSEHOLDS', 'ANNOTATION OF PERCENT', 'HOUSEHOLDS BY TYPE']","['MARRIED-COUPLE FAMILY', 'FAMILY HOUSEHOLDS (FAMILIES)', 'WITH OWN CHILDREN UNDER 18 YEARS']","['COHABITING COUPLE HOUSEHOLD', 'WITH OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS']"
49,DP02_0144PEA,"['ANNOTATION OF PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'SUBSAHARAN AFRICAN']","['ANNOTATION OF PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'SLOVAK']","['ANCESTRY', 'TOTAL POPULATION', 'ANNOTATION OF PERCENT']",['SUBSAHARAN AFRICAN'],['SLOVAK']
50,DP02_0037EA,"['ANNOTATION OF ESTIMATE', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'UNMARRIED WOMEN (WIDOWED, DIVORCED, AND NEVER MARRIED)']","['ANNOTATION OF ESTIMATE', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS']","['FERTILITY', 'ANNOTATION OF ESTIMATE', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS']","['UNMARRIED WOMEN (WIDOWED, DIVORCED, AND NEVER MARRIED)']",[]
51,DP02_0100EA,"['ANNOTATION OF ESTIMATE', 'YEAR OF ENTRY', 'FOREIGN BORN']","['ANNOTATION OF ESTIMATE', 'YEAR OF ENTRY', 'POPULATION BORN OUTSIDE THE UNITED STATES', 'NATIVE', 'ENTERED BEFORE 2010']","['YEAR OF ENTRY', 'ANNOTATION OF ESTIMATE']",['FOREIGN BORN'],"['ENTERED BEFORE 2010', 'NATIVE', 'POPULATION BORN OUTSIDE THE UNITED STATES']"
52,DP02_0111PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ENGLISH ONLY']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER']","['POPULATION 5 YEARS AND OVER', 'LANGUAGE SPOKEN AT HOME', 'ANNOTATION OF PERCENT MARGIN OF ERROR']",['ENGLISH ONLY'],[]
53,DP02_0090EA,"['ANNOTATION OF ESTIMATE', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE', 'BORN IN UNITED STATES', 'DIFFERENT STATE']","['ANNOTATION OF ESTIMATE', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE', 'BORN IN UNITED STATES', 'STATE OF RESIDENCE']","['BORN IN UNITED STATES', 'ANNOTATION OF ESTIMATE', 'NATIVE', 'TOTAL POPULATION', 'PLACE OF BIRTH']",['DIFFERENT STATE'],['STATE OF RESIDENCE']
